control_key,control_name,framework_key,framework_name,clause_ref
information-security-policy,Information security policy,coppa,COPPA,312.8(a)
information-security-policy,Information security policy,coppa,COPPA,312.8(b)(1)
information-security-policy,Information security policy,esg-essentials,ESG Essentials,G.9
information-security-policy,Information security policy,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,PL-1
information-security-policy,Information security policy,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,PL-1
information-security-policy,Information security policy,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,PL-1
information-security-policy,Information security policy,gdpr,GDPR,Art.24(2)
information-security-policy,Information security policy,hipaa,HIPAA,164.316(a)
information-security-policy,Information security policy,hipaa,HIPAA,164.530(i)(1)
information-security-policy,Information security policy,iso-27001,ISO/IEC 27001,5.2
information-security-policy,Information security policy,iso-27001,ISO/IEC 27001,A.5.1
information-security-policy,Information security policy,nist-800-53,NIST SP 800-53,PL-1
information-security-policy,Information security policy,nist-csf,NIST Cybersecurity Framework,GV.PO-01
information-security-policy,Information security policy,nist-csf,NIST Cybersecurity Framework,GV.PO-02
information-security-policy,Information security policy,pci-dss,PCI DSS,12.1
information-security-policy,Information security policy,pipeda,PIPEDA,4.1.4
information-security-policy,Information security policy,pipeda,PIPEDA,4.7
information-security-policy,Information security policy,soc-2,SOC 2,CC5.3
information-security-policy,Information security policy,sox,SOX (Sarbanes-Oxley) Section 404,P12
risk-assessment,Risk assessment & treatment,coppa,COPPA,312.8(b)(2)
risk-assessment,Risk assessment & treatment,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,RA-1
risk-assessment,Risk assessment & treatment,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,RA-3
risk-assessment,Risk assessment & treatment,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,RA-7
risk-assessment,Risk assessment & treatment,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,RA-1
risk-assessment,Risk assessment & treatment,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,RA-3
risk-assessment,Risk assessment & treatment,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,RA-7
risk-assessment,Risk assessment & treatment,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,RA-1
risk-assessment,Risk assessment & treatment,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,RA-3
risk-assessment,Risk assessment & treatment,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,RA-7
risk-assessment,Risk assessment & treatment,gdpr,GDPR,Art.32(2)
risk-assessment,Risk assessment & treatment,hipaa,HIPAA,164.306(b)
risk-assessment,Risk assessment & treatment,hipaa,HIPAA,164.306(d)
risk-assessment,Risk assessment & treatment,hipaa,HIPAA,164.308(a)(1)(ii)(A)
risk-assessment,Risk assessment & treatment,hipaa,HIPAA,164.308(a)(1)(ii)(B)
risk-assessment,Risk assessment & treatment,iso-27001,ISO/IEC 27001,6.1
risk-assessment,Risk assessment & treatment,iso-27001,ISO/IEC 27001,8.2
risk-assessment,Risk assessment & treatment,nist-800-171,NIST SP 800-171,3.11.1
risk-assessment,Risk assessment & treatment,nist-800-53,NIST SP 800-53,RA-1
risk-assessment,Risk assessment & treatment,nist-800-53,NIST SP 800-53,RA-3
risk-assessment,Risk assessment & treatment,nist-800-53,NIST SP 800-53,RA-7
risk-assessment,Risk assessment & treatment,nist-csf,NIST Cybersecurity Framework,GV.RM-02
risk-assessment,Risk assessment & treatment,nist-csf,NIST Cybersecurity Framework,GV.RM-06
risk-assessment,Risk assessment & treatment,nist-csf,NIST Cybersecurity Framework,ID.RA-03
risk-assessment,Risk assessment & treatment,nist-csf,NIST Cybersecurity Framework,ID.RA-04
risk-assessment,Risk assessment & treatment,nist-csf,NIST Cybersecurity Framework,ID.RA-05
risk-assessment,Risk assessment & treatment,pci-dss,PCI DSS,12.3
risk-assessment,Risk assessment & treatment,soc-2,SOC 2,CC3.2
risk-assessment,Risk assessment & treatment,soc-2,SOC 2,CC3.4
access-control-policy,Access control policy,cis-controls,CIS Controls,3.3
access-control-policy,Access control policy,cis-controls,CIS Controls,6.6
access-control-policy,Access control policy,cis-controls,CIS Controls,6.7
access-control-policy,Access control policy,cis-controls,CIS Controls,6.8
access-control-policy,Access control policy,coppa,COPPA,312.8(b)(3)
access-control-policy,Access control policy,fedramp-20x,FedRAMP 20x Key Security Indicators,KSI-IAM-ELP
access-control-policy,Access control policy,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,AC-1
access-control-policy,Access control policy,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,AC-2
access-control-policy,Access control policy,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,AC-3
access-control-policy,Access control policy,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,AC-14
access-control-policy,Access control policy,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-2(9)
access-control-policy,Access control policy,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,IA-2(5)
access-control-policy,Access control policy,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-1
access-control-policy,Access control policy,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-2
access-control-policy,Access control policy,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-3
access-control-policy,Access control policy,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-6
access-control-policy,Access control policy,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-14
access-control-policy,Access control policy,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-10
access-control-policy,Access control policy,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-2(11)
access-control-policy,Access control policy,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-2(9)
access-control-policy,Access control policy,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,IA-2(5)
access-control-policy,Access control policy,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-1
access-control-policy,Access control policy,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-2
access-control-policy,Access control policy,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-3
access-control-policy,Access control policy,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-6
access-control-policy,Access control policy,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-14
access-control-policy,Access control policy,gdpr,GDPR,Art.32(1)
access-control-policy,Access control policy,hipaa,HIPAA,164.308(a)(3)(ii)(A)
access-control-policy,Access control policy,hipaa,HIPAA,164.308(a)(4)(ii)(B)
access-control-policy,Access control policy,hipaa,HIPAA,164.312(a)(2)(ii)
access-control-policy,Access control policy,hipaa,HIPAA,164.502(b)
access-control-policy,Access control policy,hipaa,HIPAA,164.514(d)(2)
access-control-policy,Access control policy,iso-27001,ISO/IEC 27001,A.5.15
access-control-policy,Access control policy,nist-800-171,NIST SP 800-171,3.1.1
access-control-policy,Access control policy,nist-800-171,NIST SP 800-171,3.1.2
access-control-policy,Access control policy,nist-800-171,NIST SP 800-171,3.1.5
access-control-policy,Access control policy,nist-800-53,NIST SP 800-53,AC-1
access-control-policy,Access control policy,nist-800-53,NIST SP 800-53,AC-2
access-control-policy,Access control policy,nist-800-53,NIST SP 800-53,AC-3
access-control-policy,Access control policy,nist-800-53,NIST SP 800-53,AC-6
access-control-policy,Access control policy,nist-800-53,NIST SP 800-53,AC-14
access-control-policy,Access control policy,nist-csf,NIST Cybersecurity Framework,PR.AA-05
access-control-policy,Access control policy,pci-dss,PCI DSS,7.1
access-control-policy,Access control policy,pci-dss,PCI DSS,7.2
access-control-policy,Access control policy,pci-dss,PCI DSS,7.3
access-control-policy,Access control policy,pipeda,PIPEDA,4.7.1
access-control-policy,Access control policy,pipeda,PIPEDA,4.7.3
access-control-policy,Access control policy,soc-2,SOC 2,CC6.1
access-control-policy,Access control policy,soc-2,SOC 2,CC6.3
access-control-policy,Access control policy,sox,SOX (Sarbanes-Oxley) Section 404,P11
user-lifecycle,User provisioning & deprovisioning,cis-controls,CIS Controls,5.1
user-lifecycle,User provisioning & deprovisioning,cis-controls,CIS Controls,5.3
user-lifecycle,User provisioning & deprovisioning,cis-controls,CIS Controls,5.5
user-lifecycle,User provisioning & deprovisioning,cis-controls,CIS Controls,5.6
user-lifecycle,User provisioning & deprovisioning,cis-controls,CIS Controls,6.1
user-lifecycle,User provisioning & deprovisioning,cis-controls,CIS Controls,6.2
user-lifecycle,User provisioning & deprovisioning,fedramp-20x,FedRAMP 20x Key Security Indicators,KSI-IAM-AAM
user-lifecycle,User provisioning & deprovisioning,fedramp-20x,FedRAMP 20x Key Security Indicators,KSI-IAM-SUS
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,AC-2
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,IA-4
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,PS-4
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-b,FedRAMP Rev5 Certification Class B,PS-5
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-2
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-2(1)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-2(2)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-2(3)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-2(4)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,AC-2(13)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,IA-4
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,IA-4(4)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,IA-12
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,IA-12(2)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,IA-12(3)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,IA-12(5)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,PS-4
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-c,FedRAMP Rev5 Certification Class C,PS-5
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,IA-12(4)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,PS-4(2)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-2
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-2(1)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-2(2)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-2(3)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-2(4)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,AC-2(13)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,IA-4
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,IA-4(4)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,IA-12
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,IA-12(2)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,IA-12(3)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,IA-12(5)
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,PS-4
user-lifecycle,User provisioning & deprovisioning,fedramp-rev5-class-d,FedRAMP Rev5 Certification Class D,PS-5
user-lifecycle,User provisioning & deprovisioning,gdpr,GDPR,Art.32(1)
user-lifecycle,User provisioning & deprovisioning,hipaa,HIPAA,164.308(a)(4)(ii)(B)
user-lifecycle,User provisioning & deprovisioning,hipaa,HIPAA,164.308(a)(4)(ii)(C)
user-lifecycle,User provisioning & deprovisioning,hipaa,HIPAA,164.312(a)(2)(i)
user-lifecycle,User provisioning & deprovisioning,iso-27001,ISO/IEC 27001,A.5.16
user-lifecycle,User provisioning & deprovisioning,iso-27001,ISO/IEC 27001,A.5.18
user-lifecycle,User provisioning & deprovisioning,iso-27001,ISO/IEC 27001,A.8.3
user-lifecycle,User provisioning & deprovisioning,nist-800-171,NIST SP 800-171,3.1.1
user-lifecycle,User provisioning & deprovisioning,nist-800-171,NIST SP 800-171,3.5.1
user-lifecycle,User provisioning & deprovisioning,nist-800-171,NIST SP 800-171,3.5.5
user-lifecycle,User provisioning & deprovisioning,nist-800-171,NIST SP 800-171,3.5.6
user-lifecycle,User provisioning & deprovisioning,nist-800-171,NIST SP 800-171,3.9.2
user-lifecycle,User provisioning & deprovisioning,nist-800-53,NIST SP 800-53,AC-2
user-lifecycle,User provisioning & deprovisioning,nist-800-53,NIST SP 800-53,AC-2(1)
user-lifecycle,User provisioning & deprovisioning,nist-800-53,NIST SP 800-53,AC-2(2)
user-lifecycle,User provisioning & deprovisioning,nist-800-53,NIST SP 800-53,AC-2(3)
user-lifecycle,User provisioning & deprovisioning,nist-800-53,NIST SP 800-53,AC-2(4)
user-lifecycle,User provisioning & deprovisioning,nist-800-53,NIST SP 800-53,AC-2(13)
